"","latitude","longitude","temperature_b","salinity_b","depth","sediment","abundance","AMM_HSI","GMM_HSI"
"1",39.85,-70.55,4.80033665227273,34.9914035909091,-760.700012207031,"sd-cl/st",0.0186895271894996,0.199063822251093,0.091543753131223
"2",39.9,-70.6,5.70912390714286,35.0313254285714,-517.599975585938,"cl-st/sd",0.0199209185695631,0.469284899456275,0.288157377409189
"3",40.05,-69.05,6.19733150208333,35.0333258125,-710.200012207031,"sd/st/cl",0.015364741957769,0.664476397164455,0.421116988028107
"4",40.25,-67.9,4.26605689459459,34.9600604324324,-1002.20001220703,"cl-st/sd",0.0139189398806546,0.223949077354193,0.106497280385129
"5",39.85,-70.9,4.5499948,34.984058,-894.200012207031,"cl-st/sd",0.0199209185695631,0.223949077354193,0.106497280385129
"6",41.6,-65.8,5.21311156666667,34.9361941666667,-897.900024414062,"cl-st/sd",3.12425303707054,0.223949077354193,0.106497280385129
"7",40.7,-66.7,4.51621768333333,34.9423411666667,-894.5,"sd-cl/st",0.0406073247916855,0.199063822251093,0.091543753131223
"8",39.85,-70.65,4.8041924875,34.988997125,-767.099975585938,"cl-st/sd",0.0199209185695631,0.223949077354193,0.106497280385129
"9",40,-69.15,6.52801666034483,35.0520756896552,-527.5,"cl-st/sd",0.015364741957769,0.469284899456275,0.288157377409189
"10",40.2,-68.2,5.07225946111111,34.9906669259259,-675.5,"cl-st/sd",0.0138540091520611,0.223949077354193,0.106497280385129
"11",40.05,-68.6,4.25408502,34.9601455428571,-1020.59997558594,"cl-st/sd",0.0141378834830394,0.223949077354193,0.106497280385129
"12",39.85,-69.85,4.7425587625,34.980182275,-819.900024414062,"cl-st/sd",0.0186895271894996,0.223949077354193,0.106497280385129
"13",40.8,-66.6,4.48055695,34.9372685,-722.200012207031,"cl-st/sd",0.0727565348455296,0.223949077354193,0.106497280385129
"14",39.9,-70.8,5.3131575,35.014555,-563.900024414062,"cl-st/sd",0.0199209185695631,0.223949077354193,0.106497280385129
"15",40.6,-67,5.00515467173913,34.9703026086957,-624.900024414062,"cl-st/sd",0.0230838562024998,0.223949077354193,0.106497280385129
"16",40.3,-67.75,5.05489529027778,34.9854163333333,-698,"cl-st/sd",0.0143540974269675,0.223949077354193,0.106497280385129
"17",41.8,-65.7,6.3636821,34.9522158333333,-602.5,"cl-st/sd",3.07749205364102,0.469284899456275,0.288157377409189
"18",39.85,-69.75,4.939754545,34.9892516,-855.700012207031,"cl-st/sd",0.0186895271894996,0.223949077354193,0.106497280385129
"19",39.9,-70.05,5.61040845,35.0194013,-572,"cl-st/sd",0.0186895271894996,0.469284899456275,0.288157377409189
"20",39.9,-70.75,5.3891597,35.0175455,-585.099975585938,"cl-st/sd",0.0199209185695631,0.223949077354193,0.106497280385129
"21",42.1,-65.5,5.6800144125,34.92976875,-601,"gr-sd",2.53103367327371,0.459475682225672,0.274295803105568
"22",40,-70.5,6.81892766351351,35.0734687972973,-517.599975585938,"cl-st/sd",0.0199209185695631,0.469284899456275,0.288157377409189
"23",41.8,-65.65,4.693886175,34.9244565,-1053,"sd/st/cl",3.07749205364102,0.419140575062373,0.155636528733691
"24",40,-69.05,4.45868404534884,34.9671279534884,-888.5,"cl-st/sd",0.015364741957769,0.223949077354193,0.106497280385129
"25",42.05,-65.55,6.32372665,34.95611,-706.700012207031,"gr-sd",4.06032254120537,0.459475682225672,0.274295803105568
"26",41.7,-65.75,6.827543825,34.9635105,-579.299987792969,"cl-st/sd",3.12425303707054,0.469284899456275,0.288157377409189
"27",39.9,-70.15,5.51611065833333,35.0163941111111,-603,"cl-st/sd",0.0186895271894996,0.223949077354193,0.106497280385129
"28",41.2,-66.2,4.94607075,34.931538,-822.5,"cl-st/sd",0.305803389077661,0.223949077354193,0.106497280385129
"29",40.45,-67.2,5.4651384,34.9921083333333,-750.5,"cl-st/sd",0.018513529443396,0.223949077354193,0.106497280385129
"30",39.9,-70.95,4.99522495,35.002595,-624.900024414062,"cl-st/sd",0.0199209185695631,0.223949077354193,0.106497280385129
"31",42,-65.55,5.225501925,34.937278,-877.799987792969,"gr-sd",4.06032254120537,0.214139860123591,0.101374316057563
"32",39.85,-70.8,4.540089375,34.9812745,-848.700012207031,"cl-st/sd",0.0199209185695631,0.223949077354193,0.106497280385129
"33",40.2,-68.15,4.79899765862069,34.979204862069,-914,"cl-st/sd",0.0138540091520611,0.223949077354193,0.106497280385129
"34",39.9,-69.65,6.526100275,35.0561332727273,-503.399993896484,"cl-st/sd",0.0168744581071799,0.469284899456275,0.288157377409189
