"","latitude","longitude","temperature_b","salinity_b","depth","sediment","abundance","AMM_HSI","GMM_HSI"
"1",41.85,-65.7,7.17743915,35.1333641666667,-510.100006103516,"sd",4.21454557013279,0.414476397164455,0
"2",39.9,-70.5,5.25470156041667,35.0734373229167,-996.400024414062,"cl-st/sd",0.0204996313896124,0.223949077354193,0.106497280385129
"3",40.7,-66.7,4.81864425,35.0171755,-894.5,"sd-cl/st",0.0499960966031709,0.199063822251093,0.091543753131223
"4",39.95,-69.15,5.09932970217391,35.0578937826087,-885,"cl-st/sd",0.0159332768654797,0.223949077354193,0.106497280385129
"5",40,-69.15,6.9383198862069,35.1680089137931,-527.5,"cl-st/sd",0.0159332768654797,0.469284899456275,0.288157377409189
"6",40.35,-67.45,4.68442462631579,35.0141235394737,-822.299987792969,"cl-st/sd",0.0180313257953796,0.223949077354193,0.106497280385129
"7",41.8,-65.65,4.64297435,34.99960175,-1053,"sd/st/cl",4.21454557013279,0.419140575062373,0.155636528733691
"8",40.55,-67,4.75026936111111,35.0179221111111,-833.200012207031,"cl-st/sd",0.0271666249270873,0.223949077354193,0.106497280385129
"9",39.9,-71,5.6216195,35.093351,-624.099975585938,"cl-st/sd",0.0204996313896124,0.469284899456275,0.288157377409189
"10",41.25,-66.15,4.64868553333333,35.0004981666667,-994.200012207031,"cl-st/sd",1.07709174598719,0.223949077354193,0.106497280385129
"11",39.85,-70.75,4.81286685,35.0335575,-820.299987792969,"cl-st/sd",0.0204996313896124,0.223949077354193,0.106497280385129
"12",40.8,-66.65,5.38468451666667,35.0417105,-482.100006103516,"cl-st/sd",0.0932872992905991,0.223949077354193,0.106497280385129
"13",39.85,-70.8,4.872909375,35.0400925,-848.700012207031,"cl-st/sd",0.0204996313896124,0.223949077354193,0.106497280385129
"14",40.75,-66.65,4.76248226666667,35.0134103333333,-1085.30004882812,"sd-cl/st",0.0932872992905991,0.199063822251093,0.091543753131223
"15",39.9,-70.15,5.71828576944444,35.1029003055556,-603,"cl-st/sd",0.0191824037717342,0.469284899456275,0.288157377409189
"16",40.05,-68.6,4.65163395857143,35.0260685,-1020.59997558594,"cl-st/sd",0.0149296206011198,0.223949077354193,0.106497280385129
"17",42,-65.55,5.0638966375,35.020753875,-877.799987792969,"gr-sd",5.34567135319956,0.214139860123591,0.101374316057563
"18",40.1,-68.4,5.43902405,35.0754278958333,-1012.90002441406,"cl-st/sd",0.014778521331814,0.223949077354193,0.106497280385129
"19",40.25,-68.05,4.98064595571429,35.0406669,-861.099975585938,"cl-st/sd",0.0151579218611753,0.223949077354193,0.106497280385129
"20",40.3,-67.55,4.57372715795455,35.0081074431818,-1032,"cl-st/sd",0.0180313257953796,0.223949077354193,0.106497280385129
"21",40.15,-68.3,5.10444354444444,35.0513471944444,-989.099975585938,"cl-st/sd",0.0148698518980126,0.223949077354193,0.106497280385129
"23",40.2,-68.2,5.60368538148148,35.0819619259259,-675.5,"cl-st/sd",0.0148698518980126,0.469284899456275,0.288157377409189
"24",40.15,-68.5,6.2530913673913,35.1264511956522,-562.5,"sd-st/cl",0.0149296206011198,0.4918401841779,0.314088611298314
"25",39.9,-70,6.59892507142857,35.1580942142857,-533.200012207031,"cl-st/sd",0.0191824037717342,0.469284899456275,0.288157377409189
"26",39.85,-69.75,5.3912875,35.0760776,-855.700012207031,"cl-st/sd",0.0191824037717342,0.223949077354193,0.106497280385129
"27",39.9,-70.25,5.40130948839286,35.0828275892857,-1071.30004882812,"cl-st/sd",0.0191824037717342,0.223949077354193,0.106497280385129
"28",41.95,-65.6,5.1944408,35.032447,-787.900024414062,"gr-sd",4.21454557013279,0.214139860123591,0.101374316057563
"29",40.15,-68.35,5.99320352857143,35.1074351785714,-760.700012207031,"cl-st/sd",0.0148698518980126,0.469284899456275,0.288157377409189
"30",39.9,-69.3,4.91779155,35.04282175,-1007.40002441406,"cl-st/sd",0.0167155335765295,0.223949077354193,0.106497280385129
"31",41.25,-66.2,5.779330125,35.0499825,-815.200012207031,"cl-st/sd",0.426455603887,0.469284899456275,0.288157377409189
"32",39.9,-69.5,6.93428412,35.1612722,-537.400024414062,"cl-st/sd",0.0173590012607766,0.469284899456275,0.288157377409189
"33",39.9,-69.85,6.30228092666667,35.1363624333333,-536.5,"cl-st/sd",0.0191824037717342,0.469284899456275,0.288157377409189
"34",40.3,-67.6,4.83681808214286,35.025597,-874.900024414062,"cl-st/sd",0.015816369640691,0.223949077354193,0.106497280385129
"35",39.9,-69.45,5.39095458333333,35.0720296666667,-524.599975585938,"cl-st/sd",0.0173590012607766,0.223949077354193,0.106497280385129
"37",40.3,-68.15,5.88896044545455,35.0961275113636,-612,"cl-st/sd",0.0151579218611753,0.469284899456275,0.288157377409189
"38",40.2,-68.15,5.21212395344828,35.057696137931,-914,"cl-st/sd",0.0148698518980126,0.223949077354193,0.106497280385129
"39",39.85,-69.65,5.15083962692308,35.0610496538462,-937.700012207031,"cl-st/sd",0.0173590012607766,0.223949077354193,0.106497280385129
"40",41.65,-65.85,8.66248553333333,35.195464,-526.099975585938,"sd",4.35604199117878,0.414476397164455,0
"41",39.9,-70.7,5.71552665,35.103845,-564.400024414062,"cl-st/sd",0.0204996313896124,0.469284899456275,0.288157377409189
"42",41.65,-65.75,5.38984265,35.0458246666667,-894.299987792969,"cl-st/sd",4.35604199117878,0.223949077354193,0.106497280385129
"43",41.85,-65.65,5.45952463333333,35.045819,-992.900024414062,"sd/st/cl",4.21454557013279,0.419140575062373,0.155636528733691
"44",40.75,-66.7,5.52548866666667,35.0534296666667,-581.400024414062,"cl-st/sd",0.0932872992905991,0.223949077354193,0.106497280385129
"45",40,-68.95,5.45730864047619,35.084499452381,-998.599975585938,"cl-st/sd",0.0151976760271114,0.223949077354193,0.106497280385129
"46",40.6,-66.95,5.1553549765625,35.03732778125,-547.799987792969,"cl-st/sd",0.0499960966031709,0.223949077354193,0.106497280385129
"47",40.3,-67.75,5.48827418888889,35.0670687361111,-698,"cl-st/sd",0.015816369640691,0.223949077354193,0.106497280385129
"48",39.95,-69.1,4.69337157121212,35.0309376818182,-750.400024414062,"cl-st/sd",0.0159332768654797,0.223949077354193,0.106497280385129
"49",40.1,-68.5,5.14365939142857,35.0579622428571,-958.099975585938,"cl-st/sd",0.0149296206011198,0.223949077354193,0.106497280385129
"50",40.4,-67.4,5.30554046470588,35.0511802647059,-925.599975585938,"cl-st/sd",0.0212717646153073,0.223949077354193,0.106497280385129
"51",40.45,-67.4,7.632554456,35.17539966,-580.099975585938,"cl-st/sd",0.0212717646153073,0.469284899456275,0.288157377409189
"52",40.9,-66.45,5.293988575,35.032456,-912.5,"sd-cl/st",0.238261275325941,0.199063822251093,0.091543753131223
"53",39.9,-70.8,5.8243023,35.1111035,-563.900024414062,"cl-st/sd",0.0204996313896124,0.469284899456275,0.288157377409189
"54",39.9,-70.85,5.608534875,35.0947065,-603.599975585938,"cl-st/sd",0.0204996313896124,0.469284899456275,0.288157377409189
"55",41.35,-66.15,8.09429925,35.14031525,-515,"sd",1.07709174598719,0.414476397164455,0
"56",40.35,-68.15,6.90632473913043,35.1484493804348,-653.200012207031,"cl-st/sd",0.0151579218611753,0.469284899456275,0.288157377409189
"57",41.9,-65.6,4.665965575,35.002269,-957.400024414062,"sd/st/cl",4.21454557013279,0.419140575062373,0.155636528733691
"58",40.45,-67.15,4.7188584,35.013592,-869.099975585938,"cl-st/sd",0.0271666249270873,0.223949077354193,0.106497280385129
"59",41.2,-66.25,6.53852605,35.08240875,-568.400024414062,"cl-st/sd",0.424061919071741,0.469284899456275,0.288157377409189
"60",41.9,-65.65,6.0561941,35.0824918333333,-619.700012207031,"sd",4.21454557013279,0.414476397164455,0
"61",42.05,-65.55,6.35836195,35.0777075,-706.700012207031,"gr-sd",5.34567135319956,0.459475682225672,0.274295803105568
"62",41.1,-66.3,5.66293436666667,35.0492563333333,-611,"cl-st/sd",0.424061919071741,0.469284899456275,0.288157377409189
"63",40.35,-67.85,6.76642774871795,35.1354923846154,-483.399993896484,"cl-st/sd",0.015816369640691,0.469284899456275,0.288157377409189
"64",39.9,-70.45,5.61714223846154,35.0978707692308,-571.599975585938,"cl-st/sd",0.0204996313896124,0.469284899456275,0.288157377409189
"65",39.9,-70.4,6.00234782,35.121847,-551,"cl-st/sd",0.0204996313896124,0.469284899456275,0.288157377409189
"66",40.35,-67.65,5.772606211,35.07616695,-628.299987792969,"cl-st/sd",0.015816369640691,0.469284899456275,0.288157377409189
"67",40.05,-68.75,5.40416767307692,35.0774965576923,-863.5,"cl-st/sd",0.0151976760271114,0.223949077354193,0.106497280385129
"68",40.5,-67.05,5.1567605125,35.036827,-774.200012207031,"cl-st/sd",0.0271666249270873,0.223949077354193,0.106497280385129
"69",39.85,-70.9,4.852518,35.0392175,-894.200012207031,"cl-st/sd",0.0204996313896124,0.223949077354193,0.106497280385129
"70",41.8,-65.7,6.50465026666667,35.09756,-602.5,"cl-st/sd",4.21454557013279,0.469284899456275,0.288157377409189
"71",40.25,-67.9,4.48811912567568,35.0154132837838,-1002.20001220703,"cl-st/sd",0.0151579218611753,0.223949077354193,0.106497280385129
"72",39.9,-70.2,5.33585591935484,35.0803814516129,-754.599975585938,"cl-st/sd",0.0191824037717342,0.223949077354193,0.106497280385129
"74",39.85,-70.45,4.89120620217391,35.0421624347826,-834.700012207031,"cl-st/sd",0.0191824037717342,0.223949077354193,0.106497280385129
"75",39.9,-70.3,5.57323499166667,35.0944728833333,-611.900024414062,"cl-st/sd",0.0191824037717342,0.223949077354193,0.106497280385129
"76",39.85,-69.7,5.26151523333333,35.0678425555556,-762.700012207031,"cl-st/sd",0.0191824037717342,0.223949077354193,0.106497280385129
"77",40.5,-67,4.6203688,35.0101095,-826.099975585938,"sd-cl/st",0.0271666249270873,0.199063822251093,0.091543753131223
"78",39.9,-69.95,6.43560035945946,35.1482507027027,-512.700012207031,"cl-st/sd",0.0191824037717342,0.469284899456275,0.288157377409189
"79",41.65,-65.8,7.036121725,35.1297205,-632.799987792969,"sd",4.35604199117878,0.414476397164455,0
"80",41.6,-65.8,5.70683285,35.0632856666667,-897.900024414062,"cl-st/sd",4.35604199117878,0.469284899456275,0.288157377409189
"81",39.85,-70.35,4.98214969090909,35.0490736090909,-1074.69995117188,"cl-st/sd",0.0191824037717342,0.223949077354193,0.106497280385129
"82",39.85,-70.95,4.8884335,35.0415085,-885.299987792969,"cl-st/sd",0.0204996313896124,0.223949077354193,0.106497280385129
"83",40.4,-67.3,4.79664004,35.0197285,-764.099975585938,"cl-st/sd",0.0212717646153073,0.223949077354193,0.106497280385129
"84",41.35,-66.05,7.10533928333333,35.1165288333333,-1023.90002441406,"cl-st/sd",1.07709174598719,0.469284899456275,0.288157377409189
"85",40.05,-68.7,5.2926178969697,35.0692486060606,-856.400024414062,"cl-st/sd",0.0149296206011198,0.223949077354193,0.106497280385129
"86",40.3,-68.1,5.7715466797619,35.0921355238095,-509.5,"cl-st/sd",0.0151579218611753,0.469284899456275,0.288157377409189
"87",42.05,-65.5,5.1802215,35.02118875,-937.799987792969,"sd/st/cl",5.34567135319956,0.419140575062373,0.155636528733691
"88",40,-69.05,4.88648163255814,35.0435930581395,-888.5,"cl-st/sd",0.0159332768654797,0.223949077354193,0.106497280385129
"89",39.9,-70.55,5.39693535789474,35.0832696842105,-547.700012207031,"cl-st/sd",0.0204996313896124,0.223949077354193,0.106497280385129
"90",40.85,-66.55,5.634832825,35.05033775,-852,"cl-st/sd",0.0932872992905991,0.469284899456275,0.288157377409189
"92",41.15,-66.25,5.492997525,35.03942075,-805.599975585938,"cl-st/sd",0.424061919071741,0.223949077354193,0.106497280385129
"93",41.3,-66.1,4.6954628,35.0039475,-722.700012207031,"cl-st/sd",1.07709174598719,0.223949077354193,0.106497280385129
"94",39.9,-70.75,5.62090275,35.095708,-585.099975585938,"cl-st/sd",0.0204996313896124,0.469284899456275,0.288157377409189
"95",39.85,-70.6,5.044735475,35.0524930625,-802.799987792969,"cl-st/sd",0.0204996313896124,0.223949077354193,0.106497280385129
