YEAR,CRUISE,STATION,STATION_ID,STRATUM,AREA,BOTTOM_TYPE,VESSEL_NAME,BEGIN_SET_DATE,BEGIN_SET_TIME,END_SET_DATE,END_SET_TIME,BEGIN_HAUL_DATE,BEGIN_HAUL_TIME,END_HAUL_DATE,END_HAUL_TIME,DECDEG_BEGLAT_SET,DECDEG_BEGLON_SET,DECDEG_ENDLAT_SET,DECDEG_ENDLON_SET
2014,25141,1,261-1,26,514,SMOOTH,MARY ELIZABETH,5/2/2014,10:44:00,5/2/2014,11:02:00,5/2/2014,12:57,5/2/2014,14:17,42.34928,-70.32272,42.3345,-70.31123
2014,24141,1,261-2,26,514,SMOOTH,TENACIOUS II,5/2/2014,11:04:00,5/2/2014,11:15:00,5/2/2014,13:21,5/2/2014,14:10,42.21452,-70.21562,42.19979,-70.20335
2014,24142,1,280-2,28,521,ROUGH,TENACIOUS II,10/12/2014,18:20:00,10/12/2014,18:32:00,10/12/2014,20:39,10/12/2014,21:26,42.12136,-69.48256,42.10792,-69.47781
2014,25142,1,371-1,37,515,SMOOTH,MARY ELIZABETH,10/13/2014,6:50:00,10/13/2014,7:09:00,10/13/2014,9:10,10/13/2014,10:13,43.22757,-68.6975,43.24002,-68.70683
2014,25141,2,260-3,26,514,ROUGH,MARY ELIZABETH,5/2/2014,17:12:00,5/2/2014,17:29:00,5/2/2014,19:29,5/2/2014,20:41,42.54313,-70.292,42.55842,-70.30302
2014,24141,2,271-1,27,514,SMOOTH,TENACIOUS II,5/2/2014,17:26:00,5/2/2014,17:35:00,5/2/2014,19:36,5/2/2014,20:29,42.61998,-70.00679,42.62987,-70.01673
2014,24142,2,280-3,28,515,ROUGH,TENACIOUS II,10/13/2014,12:13:00,10/13/2014,12:25:00,10/13/2014,2:33,10/13/2014,3:24,42.4329,-69.22922,42.41742,-69.22445
2014,25142,2,371-2,37,513,SMOOTH,MARY ELIZABETH,10/13/2014,12:51:00,10/13/2014,13:08:00,10/13/2014,15:10,10/13/2014,16:21,43.21043,-69.13295,43.1991,-69.11622
2014,25141,3,260-4,26,514,ROUGH,MARY ELIZABETH,5/2/2014,23:05:00,5/2/2014,23:24:00,5/3/2014,1:19,5/3/2014,2:49,42.75087,-70.3554,42.73647,-70.34298
2014,24141,3,270-2,NA,513,ROUGH,TENACIOUS II,5/2/2014,23:13:00,5/2/2014,23:24:00,5/3/2014,1:16,5/3/2014,2:04,42.97203,-70.01337,42.95886,-70.00209
2014,24142,3,370-3,37,515,ROUGH,TENACIOUS II,10/13/2014,12:11:00,10/13/2014,12:21:00,10/13/2014,14:26,10/13/2014,15:11,42.75494,-69.27656,42.74171,-69.27034
2014,25141,4,271-2,27,513,SMOOTH,MARY ELIZABETH,5/3/2014,11:24:00,5/3/2014,11:42:00,5/3/2014,13:44,5/3/2014,14:52,43.20147,-70.25063,43.18713,-70.2384
2014,24141,4,260-2,26,513,ROUGH,TENACIOUS II,5/3/2014,12:00:00,5/3/2014,12:12:00,5/3/2014,14:11,5/3/2014,15:02,43.0564,-70.06329,43.04047,-70.05497
2014,24142,4,370-1,37,515,ROUGH,TENACIOUS II,10/13/2014,18:31:00,10/13/2014,18:41:00,10/13/2014,20:53,10/13/2014,21:51,42.79452,-68.90779,42.80738,-68.91918
2014,25142,4,370-2,37,513,ROUGH,MARY ELIZABETH,10/14/2014,7:19:00,10/14/2014,7:37:00,10/14/2014,9:42,10/14/2014,11:12,43.01925,-69.655,43.03563,-69.64987
2014,25141,5,270-5,27,513,ROUGH,MARY ELIZABETH,5/3/2014,17:50:00,5/3/2014,18:08:00,5/3/2014,20:08,5/3/2014,21:23,43.20032,-70.0488,43.21125,-70.06628
2014,24141,5,270-1,NA,513,ROUGH,TENACIOUS II,5/3/2014,18:06:00,5/3/2014,18:18:00,5/3/2014,20:18,5/3/2014,20:58,43.1147,-70.12576,43.11674,-70.1041
