CRUISE,STATION,STATION_ID,COMMON_NAME,SVSPP,SEX,LENWT,LENNUM,CATCHWT,CATCHNUM
24142,11,260-1,CUSK,84,0,11.8,8,11.8,8
24141,4,260-2,CUSK,84,0,12.8,7,12.8,7
25142,12,260-3,CUSK,84,0,3.2,2,3.2,2
25141,3,260-4,CUSK,84,0,6.4,3,6.4,3
25142,10,260-4,CUSK,84,0,1.6,1,1.6,1
25142,18,260-5,CUSK,84,0,5.5,2,5.5,2
24141,5,270-1,CUSK,84,0,1.6,1,1.6,1
25142,11,270-1,CUSK,84,0,65.3,21,65.3,21
25142,15,270-4,CUSK,84,0,6.3,4,6.3,4
24142,9,270-5,CUSK,84,0,9.1,3,9.1,3
24141,2,271-1,CUSK,84,0,7,3,7,3
25142,8,280-1,CUSK,84,0,5.5,2,5.5,2
24141,8,280-2,CUSK,84,0,30.8,15,30.8,15
24141,35,290-1,CUSK,84,0,9.6,4,10.55,5
24142,14,290-1,CUSK,84,0,3.5,2,3.5,2
24141,30,290-2,CUSK,84,0,2.8,1,2.8,1
24142,13,290-2,CUSK,84,0,11.3,6,11.3,6
24141,33,290-3,CUSK,84,0,16.2,6,16.2,6
25142,28,290-3,CUSK,84,0,2.9,1,2.9,1
24141,31,290-4,CUSK,84,0,2.1,1,2.1,1
25142,29,290-4,CUSK,84,0,40.1,25,40.1,25
24141,32,290-5,CUSK,84,0,6.1,2,6.1,2
24142,16,290-5,CUSK,84,0,35.2,17,35.2,17
24141,34,290-6,CUSK,84,0,36.7,27,36.7,27
24142,17,290-6,CUSK,84,0,31.6,12,31.6,12
24141,36,291-1,CUSK,84,0,14.2,4,17.02,6
24141,24,291-2,CUSK,84,0,11.5,8,11.5,8
24142,15,291-2,CUSK,84,0,6.5,4,6.5,4
24141,28,360-1,CUSK,84,0,106.9,72,106.9,72
24141,25,360-2,CUSK,84,0,5.9,4,5.9,4
25142,19,360-2,CUSK,84,0,19.3,14,19.3,14
24141,27,360-3,CUSK,84,0,13.8,6,13.8,6
25142,20,360-3,CUSK,84,0,27,15,27,15
24141,21,360-4,CUSK,84,0,3.5,1,3.5,1
25142,23,360-5,CUSK,84,0,101,35,101,35
24141,22,360-6,CUSK,84,0,135.4,87,135.4,87
25142,26,360-6,CUSK,84,0,7.1,2,7.1,2
24142,4,370-1,CUSK,84,0,256.6,125,256.6,125
25141,8,370-2,CUSK,84,0,5.3,4,5.3,4
25142,4,370-2,CUSK,84,0,81.2,35,81.2,35
24141,19,370-3,CUSK,84,0,74.6,42,74.6,42
24142,3,370-3,CUSK,84,0,8.6,5,8.6,5
24141,10,370-4,CUSK,84,0,141.3,95,141.3,95
24142,5,370-4,CUSK,84,0,194.2,83,194.2,83
24141,16,370-6,CUSK,84,0,125,59,125,59
24142,6,370-6,CUSK,84,0,219.5,81,219.5,81
24141,20,371-2,CUSK,84,0,12.2,5,12.2,5
