"","latitude","longitude","temperature_b","salinity_b","depth","sediment","abundance","AMM_HSI","GMM_HSI"
"1",39.9,-70.6,5.44173604285714,35.0270823571429,-517.599975585938,"cl-st/sd",17.7423351869028,0.00732537094964359,0
"2",39.85,-69.85,4.42721666,34.948610475,-819.900024414062,"cl-st/sd",17.7423351869028,0.00732537094964359,0
"3",41.35,-66.15,7.18183825,34.90632875,-515,"sd",26.308161084811,0.0591634573519194,0.0111803205449897
"4",39.9,-70.85,5.26516025,35.0110605,-603.599975585938,"cl-st/sd",17.7423351869028,0.00732537094964359,0
"5",40.15,-68.45,5.00259776627907,34.9663799651163,-668.400024414062,"sd-st/cl",4.7748384843558,0.0160404674869391,0
"6",42,-65.6,5.3467573,34.903335,-504.600006103516,"gr-sd",1.97609113807815,0.0135543524883943,0
"7",40.55,-67,4.29350725555556,34.9244076666667,-833.200012207031,"cl-st/sd",9.09901684152158,0.00732537094964359,0
"8",41.95,-65.6,4.590063675,34.8937945,-787.900024414062,"gr-sd",1.97609113807815,0.0135543524883943,0
"9",41,-66.35,4.55686851666667,34.9283616666667,-1032.30004882812,"sd-cl/st",26.6566910491583,0.0162893149074385,0
"10",39.85,-70.2,4.4579585125,34.9522056527778,-916.400024414062,"sd-cl/st",17.7423351869028,0.0162893149074385,0
"11",40.95,-66.4,4.9778633,34.95033375,-817.799987792969,"sd-cl/st",26.6566910491583,0.0162893149074385,0
"12",40,-69.15,6.30583009310345,35.053126637931,-527.5,"cl-st/sd",18.9384631963292,0.0563804927207607,0.0100515752589293
"13",41.15,-66.25,5.03115635,34.93114575,-805.599975585938,"cl-st/sd",26.6566910491583,0.00732537094964359,0
"14",39.9,-69.65,6.36568333636364,35.0780879545455,-503.399993896484,"cl-st/sd",37.6995549766856,0.0563804927207607,0.0100515752589293
"15",39.9,-70.05,5.61543867,35.0298141,-572,"cl-st/sd",17.7423351869028,0.0563804927207607,0.0100515752589293
"16",41.9,-65.6,4.263825775,34.888859,-957.400024414062,"sd/st/cl",1.97609113807815,0.0240254575080167,0
"17",41.65,-65.9,9.04358925,34.890474,-484.799987792969,"gr-sd",6.82582075139236,0.0626094742595114,0.0122245909731881
"18",39.9,-70.5,4.677215553125,34.9742981145833,-996.400024414062,"cl-st/sd",17.7423351869028,0.00732537094964359,0
"19",39.85,-69.75,4.669482325,34.96726785,-855.700012207031,"cl-st/sd",17.7423351869028,0.00732537094964359,0
"20",40.5,-67,4.4404998,34.9324084,-826.099975585938,"sd-cl/st",9.09901684152158,0.0162893149074385,0
"21",40.2,-68.2,4.68641118333333,34.9440917962963,-675.5,"cl-st/sd",4.83278769994715,0.00732537094964359,0
"22",40.15,-68.3,4.07795536944444,34.9187068611111,-989.099975585938,"cl-st/sd",4.83278769994715,0.00732537094964359,0
"23",40.3,-67.7,4.22943849054054,34.9224606486487,-832,"cl-st/sd",3.64653988128373,0.00732537094964359,0
"24",39.95,-69.2,4.84883613529412,34.9716212352941,-823.599975585938,"cl-st/sd",18.9384631963292,0.00732537094964359,0
"25",40.3,-68.15,4.99737239204545,34.9571306931818,-612,"cl-st/sd",4.83278769994715,0.00732537094964359,0
"26",40.45,-67.2,5.72545858333333,34.998418,-750.5,"cl-st/sd",9.09901684152158,0.0563804927207607,0.0100515752589293
"27",40.85,-66.5,4.147822725,34.9114175,-1041.69995117188,"sd-cl/st",20.3528678632669,0.0162893149074385,0
"28",40.6,-66.95,4.786923353125,34.948706140625,-547.799987792969,"cl-st/sd",19.0846250517378,0.00732537094964359,0
