"","latitude","longitude","temperature_b","salinity_b","depth","sediment","abundance","AMM_HSI","GMM_HSI"
"1",40.75,-66.65,5.76489401666667,35.128982,-1085.30004882812,"sd-cl/st",2.90626150892782,0.0981195490796508,0.0512776090385726
"2",39.9,-69.4,6.470086625,35.20678575,-669.799987792969,"cl-st/sd",14.3521014954358,0.0505456476378005,0.0380303724539066
"3",39.85,-69.7,6.02416476111111,35.1652567222222,-762.700012207031,"cl-st/sd",14.3521014954358,0.0505456476378005,0.0380303724539066
"4",41.05,-66.35,5.9287665375,35.119979875,-970.400024414062,"cl-st/sd",3.35188412524726,0.0505456476378005,0.0380303724539066
"5",39.85,-70.6,6.12945449375,35.1482018125,-802.799987792969,"cl-st/sd",14.3521014954358,0.0505456476378005,0.0380303724539066
"6",41.2,-66.25,6.245267325,35.09990975,-568.400024414062,"cl-st/sd",11.0338110610354,0.0505456476378005,0.0380303724539066
"7",39.9,-70.25,6.62160722410714,35.2256883660714,-1071.30004882812,"cl-st/sd",14.3521014954358,0.0436024112890009,0.0302463540933797
"8",39.9,-71,6.06542445,35.1376685,-624.099975585938,"cl-st/sd",14.3521014954358,0.0505456476378005,0.0380303724539066
"9",39.9,-70.7,6.8042325,35.215852,-564.400024414062,"cl-st/sd",14.3521014954358,0.0436024112890009,0.0302463540933797
"10",40,-68.9,6.10253164,35.1908820333333,-997.5,"cl-st/sd",10.2604872264277,0.0505456476378005,0.0380303724539066
"11",40.85,-66.55,6.402342375,35.16217025,-852,"cl-st/sd",3.35188412524726,0.0505456476378005,0.0380303724539066
"12",39.95,-69.25,6.66801061666667,35.23040675,-627,"cl-st/sd",10.2604872264277,0.0436024112890009,0.0302463540933797
"13",40,-69.05,6.34198748139535,35.2081628372093,-888.5,"cl-st/sd",10.2604872264277,0.0505456476378005,0.0380303724539066
"14",39.9,-69.3,5.6586202,35.135064,-1007.40002441406,"cl-st/sd",10.2604872264277,0.0505456476378005,0.0380303724539066
"16",40,-68.95,6.23384081666667,35.2020336904762,-998.599975585938,"cl-st/sd",10.2604872264277,0.0505456476378005,0.0380303724539066
"17",40.05,-68.6,6.11284727428571,35.2038446,-1020.59997558594,"cl-st/sd",4.29746674007705,0.0505456476378005,0.0380303724539066
"18",39.95,-69.1,5.93751276666667,35.1697836515151,-750.400024414062,"cl-st/sd",10.2604872264277,0.0505456476378005,0.0380303724539066
"21",39.85,-70.4,6.24373405652174,35.1740548913044,-839.5,"cl-st/sd",14.3521014954358,0.0505456476378005,0.0380303724539066
"22",41.25,-66.2,6.135857475,35.0951875,-815.200012207031,"cl-st/sd",11.0338110610354,0.0505456476378005,0.0380303724539066
"23",41.9,-65.6,5.2560954,35.0582275,-957.400024414062,"sd/st/cl",15.2809746786186,0.125427452728335,0.0676751422372966
