"","latitude","longitude","temperature_b","salinity_b","depth","sediment","abundance","AMM_HSI","GMM_HSI"
"1",39.85,-70.8,4.240738075,34.90703975,-848.700012207031,"cl-st/sd",79.2538547154205,0.288971635623789,0.0819869251165336
"2",40.1,-68.55,6.47687329038462,35.1871485384615,-566,"cl-st/sd",30.4724268311712,0.0505456476378005,0.0380303724539066
"3",40.4,-67.4,5.96452464607843,35.1549878921569,-925.599975585938,"cl-st/sd",32.1733459333572,0.0505456476378005,0.0380303724539066
"4",41.9,-65.65,5.14729213333333,34.9666886666667,-619.700012207031,"sd",333.284969058879,0.067661898791037,0.0469977110348542
"5",41.65,-65.75,4.93556785,34.9587006666667,-894.299987792969,"cl-st/sd",152.965064749088,0.0707923674799228,0.0489707930855394
"6",41.2,-66.2,5.3198152,35.00804225,-822.5,"cl-st/sd",222.910365617088,0.0707923674799228,0.0489707930855394
"7",40.5,-67.05,5.472161525,35.087288875,-774.200012207031,"cl-st/sd",56.2450981496568,0.0707923674799228,0.0489707930855394
"8",39.9,-70.4,5.458892505,35.01586285,-551,"cl-st/sd",79.2538547154205,0.0707923674799228,0.0489707930855394
"9",40.25,-68.05,6.1389362,35.1781352428571,-861.099975585938,"cl-st/sd",26.3106632933583,0.0505456476378005,0.0380303724539066
"10",41.3,-66.15,5.50486158333333,34.987762,-497.100006103516,"cl-st/sd",222.910365617088,0.0707923674799228,0.0489707930855394
"11",40,-69.05,5.29593664883721,35.0455228953488,-888.5,"cl-st/sd",46.0425287875858,0.0707923674799228,0.0489707930855394
"12",39.85,-70.45,4.48765778043478,34.9310026521739,-834.700012207031,"cl-st/sd",79.2538547154205,0.0707923674799228,0.0489707930855394
"13",41.25,-66.2,5.828066575,35.02341175,-815.200012207031,"cl-st/sd",222.910365617088,0.0505456476378005,0.0380303724539066
"14",40.9,-66.45,5.8474428,35.09082325,-912.5,"sd-cl/st",47.2424244243089,0.0981195490796508,0.0512776090385726
"15",40.05,-69.05,6.33962820833333,35.1412271458333,-710.200012207031,"sd/st/cl",46.0425287875858,0.105180732886213,0.0525560380584378
"16",39.85,-70.6,4.60326455,34.937343375,-802.799987792969,"cl-st/sd",79.2538547154205,0.0707923674799228,0.0489707930855394
"17",40.5,-67,4.87641387,35.0272801,-826.099975585938,"sd-cl/st",56.2450981496568,0.118366268921773,0.0660289400318817
"18",41.8,-65.65,4.666364025,34.949986,-1053,"sd/st/cl",333.284969058879,0.125427452728335,0.0676751422372966
"19",39.9,-70.65,5.4042439,35.0016198333333,-514.599975585938,"cl-st/sd",79.2538547154205,0.0707923674799228,0.0489707930855394
"20",40.15,-68.45,6.42143555581395,35.1907944534884,-668.400024414062,"sd-st/cl",30.4724268311712,0.0777073904589417,0.0469158180792971
"21",40.75,-66.7,5.71595431666667,35.0981201666667,-581.400024414062,"cl-st/sd",37.4474910570286,0.0505456476378005,0.0380303724539066
